camera,range_m,speed_m_s,heading_rel_deg,pos_std_m,vel_std_m_s,ego_vx
1759902484704193857,5.099,17.109,10.53,0.1001,0.3811,13.2642
1759902484759448151,4.823,16.559,4.24,0.1019,0.3847,13.1251
1759902484805270929,4.772,17.618,3.2,0.1008,0.3839,13.0337
1759902484855245185,4.77,18.395,2.46,0.1012,0.3852,12.928
1759902484900496605,4.867,18.225,3.91,0.1003,0.385,12.8596
1759902484984328356,5.275,18.156,3.73,0.1084,0.3975,12.7462
1759902485000666188,5.316,18.113,3.6,0.0978,0.3827,12.7235
1759902485050759661,5.519,18.794,-0.38,0.0995,0.3858,12.6349
1759902485102884374,5.285,17.439,-0.73,0.1009,0.3879,12.5386
1759902485151616814,5.071,16.477,-1.18,0.101,0.3879,12.4391
1759902485200603309,4.966,16.622,6.38,0.1012,0.3874,12.3461
1759902485251418978,5.098,17.01,6.63,0.1016,0.388,12.2632
1759902485300719059,5.194,16.382,6.39,0.1016,0.3881,12.1759
1759902485380666241,5.289,15.899,4.05,0.1083,0.398,12.0471
1759902485431012866,5.19,16.325,-0.17,0.1054,0.3931,11.968
