camera,kf_distance,kf_velocity,ego_vx
1759902484900496605,6.5208,-0.0304,12.8596
1759902484984328356,6.5062,-0.0422,12.7462
1759902485000666188,6.4979,-0.0484,12.7235
1759902485050759661,6.4878,-0.0548,12.6349
1759902485102884374,6.4804,-0.0587,12.5386
1759902485151616814,6.4723,-0.0633,12.4391
1759902485200603309,6.4634,-0.0683,12.3461
1759902485251418978,6.469,-0.0603,12.2632
1759902485300719059,6.4703,-0.0567,12.1759
1759902485380666241,6.4702,-0.0523,12.0471
1759902485431012866,6.4715,-0.0487,11.968
1759902485489551607,6.469,-0.0483,11.8535
1759902485533232575,6.4648,-0.0501,11.7902
1759902485583040504,6.4586,-0.0534,11.7222
1759902485625955122,6.4514,-0.0575,11.63
1759902485667680685,6.4433,-0.0621,11.5884
1759902485714640058,6.4462,-0.0573,11.5227
1759902485766473646,6.4423,-0.0581,11.4232
1759902485817919806,6.4365,-0.0605,11.3184
1759902485864660743,6.4295,-0.064,11.2528
1759902485914973654,6.4244,-0.0657,11.1686
1759902485963272369,6.4148,-0.0711,11.0853
1759902486010317425,6.405,-0.0766,10.9951
1759902486056895652,6.398,-0.0795,10.9357
1759902486104025530,6.39,-0.0832,10.8634
1759902486155803752,6.384,-0.0846,10.7484
1759902486201589229,6.3801,-0.0847,10.6793
1759902486251069404,6.3711,-0.0888,10.6221
1759902486335793525,6.3751,-0.0774,10.4721
1759902486386842168,6.3739,-0.0748,10.3825
1759902486432063129,6.3734,-0.0721,10.3136
1759902486483128133,6.3729,-0.0694,10.242
1759902486526427735,6.3729,-0.0668,10.1677
1759902486582860944,6.3725,-0.0639,10.0723
1759902486616472912,6.3732,-0.0615,10.0009
1759902486665899074,6.3731,-0.0591,9.9209
1759902486714405404,6.3732,-0.0567,9.846
1759902486760932483,6.3704,-0.0568,9.7969
1759902486800179805,6.3687,-0.0564,9.7517
1759902486869203519,6.3664,-0.0549,9.6495
1759902486905953113,6.3781,-0.0434,9.585
1759902486956174760,6.3771,-0.0423,9.5065
1759902487017255804,6.3762,-0.0408,9.4335
1759902487050309829,6.3764,-0.0396,9.3684
1759902487101606744,6.3761,-0.0381,9.2602
1759902487153543769,6.3729,-0.0392,9.2133
1759902487200485218,6.3707,-0.0395,9.1272
1759902487250788631,6.3691,-0.0391,9.0536
1759902487330460158,6.3673,-0.0379,8.9523
1759902487378029993,6.3638,-0.0395,8.8967
1759902487422588313,6.3614,-0.04,8.8635
1759902487474232430,6.3595,-0.0398,8.801
1759902487514005894,6.3556,-0.0418,8.7525
1759902487618775230,6.3637,-0.0289,8.6017
1759902487668222993,6.3584,-0.0327,8.5492
1759902487718974780,6.3515,-0.0374,8.5036
1759902487768922605,6.3436,-0.0428,8.4597
1759902487815349795,6.335,-0.0483,8.406
1759902487864892569,6.3258,-0.0541,8.3279
1759902487909506835,6.3163,-0.0598,8.2417
1759902487957327579,6.3094,-0.0631,8.1389
1759902488007394972,6.3044,-0.0647,8.0758
1759902488056969867,6.3008,-0.065,8.0146
1759902488108820798,6.2952,-0.0669,7.959
1759902488151867208,6.2916,-0.0675,7.926
1759902488200790251,6.2888,-0.067,7.8821
1759902488269962638,6.286,-0.0654,7.8101
1759902488330028567,6.2814,-0.066,7.7505
1759902488376681887,6.285,-0.0602,7.6841
1759902488429397486,6.2874,-0.0553,7.6275
1759902488465219904,6.2838,-0.0566,7.5861
1759902488514581423,6.2777,-0.0593,7.5098
1759902488569405146,6.2731,-0.0604,7.4444
1759902488617610313,6.2671,-0.063,7.3887
1759902488670176356,6.2596,-0.0666,7.3265
1759902488719984395,6.2514,-0.0709,7.2924
1759902488771261443,6.2514,-0.0677,7.2172
1759902488811592860,6.2461,-0.0698,7.1613
1759902488859742380,6.2389,-0.073,7.0751
1759902488902969524,6.234,-0.0744,7.0277
1759902488957320868,6.227,-0.077,6.9927
1759902489008309927,6.2252,-0.0752,6.9355
1759902489056659178,6.2211,-0.0755,6.8702
1759902489101917811,6.2184,-0.0749,6.7998
1759902489150083171,6.2193,-0.071,6.7262
1759902489231036810,6.203,-0.0813,6.6372
1759902489278130579,6.1716,-0.1067,6.5984
1759902489338771494,6.1324,-0.1372,6.544
1759902489385160260,6.1518,-0.1143,6.4954
1759902489435325530,6.187,-0.0784,6.44
1759902489481154610,6.2157,-0.0509,6.4048
1759902489521822508,6.2365,-0.0322,6.3665
1759902489619234378,6.2483,-0.0175,6.2479
1759902489668941656,6.2545,-0.0109,6.188
1759902489719026221,6.2589,-0.0064,6.1186
1759902489766808642,6.259,-0.0061,6.0651
1759902489817873316,6.2591,-0.0057,6.0184
